code,currency,currencySymbol,uk2emuCode,emuCode 
ALBNLEK,Albanian Lek,AL,,
ALGRNDN,Algerian Dinar,AD,,
ANGORWZ,Angolan Kwanza,AK,,
ANTGEC$,East Caribbean Dollar,AC$,,
ARGPESO,Argentine Peso,AP,,
ARUBFLR,Aruban Guilder,AG,,
AUSTDOL,Australian Dollar,A$,,
AUSTSCH,Austrian Schilling,AS,UKEVATS,EMATSFR
AZERMAN,Azerbaijanian Manat,22,,
BAHAMA$,Bahamian Dollar,B$,,
BAHRDIN,Bahraini Dinar,BH,,
BANTAKA,Bangladeshi Taka,TK,,
BARBAD$,Barbadian Dollar,$B,,
BELGLUX,Belgian Franc,BF,UKEVBEF,EMBEFFR
BERMDOL,Bermudian Dollar,BD,,
BHUTNLM,Bhutanese Ngultrum,406,,
BOLIPES,Bolivian Boliviano,BP,,
BOSHERC,Bosnia-Herzegovina Convertible Mark,BO,,
BOTSWPU,Botswana Pula,PU,,
BRACRUZ,Brazilian Real,C,,
BULGLEV,Bulgarian Lev,BL,,
BURUDFR,Burundian Franc,405,,
CNDOLLR,Canadian Dollar,C$,,
CHILPES,Chilean Peso,CE,,
CHIYUAN,Chinese Yuan Renminbi,CH,,
CNHGBPS,Chinese Yuan Renminbi,CNH,,
COLUPES,Colombian Peso,CP,,
COMOCFA,Comoran Franc,428,,
ZAIRERP,Congo (DRC) Francs,310,,
CRICACN,Costa Rican Colon,CC,,
CDIVCFA,Central African CFA Franc (BEAC),CFA,,
CROATKN,Croatian Kuna,KA,,
CUBPESO,Cuban Peso,CB,,
CYPRUSP,Cyprian Pound,CY,UKEVCYP,CPEURSX
CZECHCM,Czech Koruna,CK,,
DANISHK,Danish Krone,DK,,
DOMPESO,Dominican Peso,DP,,
ECURRSP,Euro,ECU,,
EURSTER,Euro,E,,
ECUASRE,Ecuadorian Sucre,SU,,
EGYPTNP,Egyptian Pound,E£,,
ELSALVA,Salvadoran Colon,SC,,
